iter	Passed	Remaining
0	138	138596
1	139	69587
2	140	46594
3	140	35073
4	141	28165
5	142	23658
6	143	20336
7	144	17908
8	145	16000
9	146	14469
10	146	13209
11	147	12180
12	148	11280
13	149	10515
14	150	9857
15	150	9276
16	151	8746
17	152	8309
18	153	7900
19	153	7545
20	154	7216
21	155	6911
22	155	6624
23	156	6372
24	157	6147
25	158	5938
26	159	5750
27	160	5566
28	161	5392
29	161	5226
30	162	5073
31	163	4930
32	163	4803
33	164	4678
34	165	4557
35	165	4442
36	166	4334
37	167	4230
38	167	4134
39	168	4044
40	169	3959
41	169	3874
42	170	3794
43	171	3717
44	171	3648
45	172	3581
46	173	3514
47	174	3453
48	174	3392
49	175	3331
50	175	3273
51	176	3217
52	177	3164
53	177	3115
54	178	3068
55	179	3021
56	179	2977
57	180	2934
58	181	2890
59	181	2849
60	182	2808
61	183	2769
62	183	2731
63	184	2697
64	185	2663
65	185	2629
66	186	2597
67	187	2564
68	187	2533
69	188	2501
70	188	2472
71	189	2448
72	190	2423
73	191	2396
74	192	2371
75	192	2344
76	193	2318
77	194	2294
78	194	2271
79	195	2248
80	196	2225
81	196	2203
82	197	2177
83	197	2156
84	198	2134
85	199	2115
86	199	2096
87	200	2078
88	201	2060
89	201	2042
90	202	2024
91	203	2006
92	203	1989
93	204	1972
94	205	1955
95	206	1940
96	206	1925
97	207	1909
98	208	1894
99	208	1879
100	209	1865
101	210	1849
102	210	1835
103	211	1823
104	212	1810
105	213	1798
106	213	1784
107	214	1773
108	215	1761
109	216	1748
110	216	1736
111	217	1726
112	218	1714
113	218	1701
114	219	1689
115	220	1678
116	220	1665
117	221	1654
118	222	1646
119	223	1635
120	223	1625
121	224	1614
122	224	1603
123	225	1593
124	226	1583
125	226	1572
126	227	1562
127	228	1555
128	228	1545
129	229	1536
130	230	1526
131	230	1517
132	231	1508
133	231	1499
134	232	1490
135	233	1481
136	233	1473
137	234	1464
138	235	1456
139	235	1448
140	236	1440
141	236	1431
142	237	1423
143	238	1416
144	238	1408
145	239	1401
146	240	1394
147	241	1388
148	241	1380
149	242	1374
150	243	1366
151	243	1360
152	244	1353
153	245	1346
154	245	1339
155	246	1332
156	246	1325
157	247	1318
158	248	1311
159	248	1304
160	248	1297
161	249	1291
162	250	1285
163	250	1278
164	251	1272
165	252	1267
166	252	1260
167	253	1255
168	254	1249
169	255	1245
170	255	1240
171	256	1234
172	257	1229
173	257	1223
174	258	1218
175	258	1212
176	259	1206
177	260	1202
178	261	1197
179	261	1192
180	262	1187
181	263	1182
182	263	1177
183	264	1171
184	264	1166
185	265	1162
186	266	1157
187	266	1152
188	267	1148
189	268	1144
190	269	1139
191	269	1134
192	270	1129
193	270	1125
194	271	1121
195	272	1117
196	273	1113
197	273	1108
198	274	1104
199	275	1100
200	275	1095
201	276	1092
202	277	1088
203	278	1085
204	278	1081
205	279	1077
206	280	1073
207	280	1068
208	281	1064
209	282	1061
210	282	1057
211	283	1053
212	284	1049
213	284	1045
214	285	1042
215	286	1038
216	286	1034
217	287	1031
218	288	1027
219	288	1023
220	289	1020
221	290	1016
222	290	1013
223	291	1009
224	291	1005
225	292	1002
226	293	998
227	294	995
228	294	992
229	295	988
230	296	985
231	296	982
232	297	978
233	297	975
234	298	972
235	299	969
236	300	966
237	300	963
238	301	960
239	302	956
240	302	953
241	303	950
242	304	947
243	304	944
244	305	941
245	306	938
246	306	935
247	307	932
248	308	928
249	308	926
250	309	923
251	310	920
252	310	918
253	311	915
254	312	912
255	312	909
256	313	906
257	313	903
258	314	900
259	315	897
260	316	894
261	316	892
262	317	889
263	318	886
264	318	883
265	319	880
266	319	878
267	320	875
268	321	873
269	322	870
270	322	868
271	323	865
272	323	862
273	324	860
274	325	858
275	326	856
276	327	853
277	327	851
278	328	849
279	329	846
280	329	843
281	330	841
